1042,792,732,732,712,721,701,711,691,701,692,702,681,691,681,701,691,702,681,701,681,691,691,702,692
3987,3627,3637,3637,3626,3637,3627,3627,3637,3627,3627,3617,3627,3627,3627,3626,3627,3617,3616,3617,3617,3616,3617,3627,3626
26951,28504,27052,26661,26520,26650,26500,26631,26500,26620,26500,26630,26510,26631,26510,26640,26510,26630,60154,26520,26630,26510,26630,26510,26631
209395,208453,208463,208454,213303,212782,221748,208594,208995,208583,208994,234964,208985,208574,217320,213553,208995,208434,208974,208433,208974,208443,208984,210397,208463
1269136,1363855,1497226,1263676,1347133,1265419,1265239,1339889,1263766,1264126,1302639,1318098,1263936,1264216,1332816,1260980,1261721,1331954,1262844,1263365,1331623,1265329,1265109,1341923,1264708
10303832,10201008,10256081,10255321,10206488,10809166,10198704,10270419,10296177,10181130,10229873,10175420,10224843,10173386,10235503,10178015,10234322,10198214,10218811,10236074,10183865,10233199,10173746,10237076,10179999
83707798,81065870,81474412,81397075,81310832,81398097,81384041,81415150,81334446,81220743,81496644,81304671,81341781,82828217,81263193,81339197,81380855,81774699,81406603,81318678,81321683,81351129,81283031,81446830,81359595
650477887,650535856,647578793,690932591,709909816,682281429,650833741,667488934,698267258,710097553,685289139,675089533,687359768,663827112,651660363,658376202,676624312,668055516,661140091,663878831,675070740,671867123,650783310,668951599,676346119
2054,1363,1262,1323,1272,1212,1203,1222,1212,1212,1212,1192,1202,1203,1203,1203,1203,1202,1202,1202,1202,1202,1202,1192,1212
9768,9217,9167,9157,9157,9157,12233,9668,9669,9678,9678,9678,9668,9679,9678,9678,9678,9678,9669,9668,9678,9678,9678,9679,9678
66776,66225,66195,66185,66165,66155,66165,66155,66145,66155,76174,66195,66155,66145,66155,66145,66155,66145,66155,72287,70052,70032,67908,62257,62268
534218,525382,514351,488813,489053,519320,568203,519371,526945,537505,498732,492460,492490,559005,542083,526254,390617,390547,375429,358907,358908,358907,362875,444269,381340
2956352,2926455,3007509,2954818,2938417,2851353,3006216,2939059,2935392,2920353,3004222,2921386,2905064,3086076,2998080,2930943,3099272,3017367,2968625,2128569,1847909,1403350,1420222,1428487,1439027
11365268,11440639,11672096,11753650,12092910,11467750,11370637,11344759,11377411,11378391,11396196,11461939,11441882,11429698,11355087,11359196,11351761,11373603,11369655,11355008,11340351,11380375,11348816,11366148,11351260
106837343,90237784,89534735,89571947,92123514,124750391,99143586,92709260,92434331,92075142,92228282,93395866,93546410,90526960,89905476,90226663,89952024,90031455,89801420,89768718,89854059,90573988,89821908,89904474,89799245
723981685,722850008,722119650,721940713,727378549,722065759,722878575,728569017,723175966,722112789,722355739,722115285,721989247,722133058,722190507,722170479,722251703,722174538,722150703,720090213,717973146,717992253,717932530,718573059,717997413
