932,612,561,601,581,541,541,542,581,581,582,571,571,541,571,541,571,541,571,531,561,531,561,531,561,531,561,531,561,531,561,531,561,531,561,531,571,531,572,541,571,531,571,541,571,591,581,581,581,581,581,581,581,581,581,581,571,581,581,581,571,581,581,581,581,581,581,581,581,581,581,581,581,581,571,581,581,581,581,581,581,581,581,581,581,581,581,581,581,581,581,581,581,581,581,581,581,581,581,581
1874,902,811,792,781,742,702,711,721,781,732,782,761,762,812,771,731,732,731,711,711,722,752,722,751,711,751,741,792,771,731,762,732,731,761,732,702,731,731,772,772,731,731,732,702,681,721,751,732,732,721,761,732,732,761,731,722,762,731,731,762,742,721,761,732,732,771,731,722,762,731,731,772,731,721,761,732,731,771,731,722,761,731,731,772,731,731,762,732,721,761,732,732,771,741,722,762,731,731,772
1864,882,831,772,762,711,821,822,711,711,702,702,741,711,671,691,701,792,771,801,812,771,802,761,771,772,711,711,711,752,751,781,792,751,791,792,801,701,722,751,791,782,761,711,722,752,731,741,722,741,741,742,711,751,731,742,721,741,742,741,711,741,772,771,772,772,721,721,752,772,701,721,752,731,751,712,752,741,741,722,751,771,812,781,812,821,771,772,771,711,722,742,741,741,712,761,771,812,771,772
972,601,581,611,581,592,571,581,551,551,541,561,591,591,562,551,551,571,571,541,551,571,571,541,541,571,571,551,541,561,571,551,551,562,561,551,551,561,561,551,551,571,561,541,552,571,571,541,551,571,571,551,541,571,571,552,551,561,561,551,551,561,561,551,551,571,562,541,551,571,571,541,551,571,571,551,541,572,571,551,551,561,561,551,551,572,561,551,551,571,571,541,551,571,571,551,541,571,571,551
2114,1142,1172,1132,1092,1041,1072,1072,1052,1082,1012,992,1002,992,992,992,992,1002,992,992,1002,1002,991,991,1002,992,992,992,992,1002,992,992,1002,992,992,992,991,992,992,1002,992,1002,992,992,1002,992,992,992,992,991,991,992,992,1002,992,992,1002,992,1002,992,992,1002,992,991,991,1002,992,992,1002,992,992,992,992,1002,992,992,1001,1001,992,992,992,992,992,1002,992,1002,992,992,1002,992,991,991,992,992,992,992,992,1002,992,992
