2043,1653,1603,1563,1563,1563,1563,1563,1573,1563,1563,1573,1563,1563,1573,1563,1573,1563,1563,1563,1563,1573,1563,1573,1563,1563,1573,1563,1563,1573,1563,1573,1563,1563,1573,1563,1572,1563,1573,1563,1573,1573,1563,1573,1563,1563,1573,1563,1573,1563,1563,1573,1563,1563,1563,1563,1573,1563,1573,1563,1563,1573,1563,1573,1563,1563,1572,1563,1563,1573,1563,1573,1563,1563,1573,1563,1573,1563,1563,1573,1563,1573,1563,1563,1573,1563,1563,1563,1563,1573,1563,1573,1563,1563,1573,1563,1562,1573,1563,1573
3056,2295,2334,2344,2325,2314,2334,2335,2325,2314,2324,2325,2324,2325,2325,2324,2325,2315,2324,2315,2325,2324,2325,2325,2324,2315,2325,2314,2325,2325,2324,2325,2324,2314,2325,2314,2324,2325,2324,2324,2325,2324,2324,2315,2324,2314,2325,2324,2324,2325,2324,2314,2335,2324,2324,2325,2324,2314,2325,2324,2324,2325,2344,2334,2325,2334,2324,2335,2324,2334,2335,2325,2324,2325,2325,2324,2325,2324,2324,2325,2324,2324,2315,2655,2916,2926,2916,2926,2915,2915,2925,2926,2335,2334,2344,2335,2335,2334,2335,2345
2094,1593,1573,1603,1583,1583,1704,1583,1703,1583,1703,1583,1703,1583,1703,1583,1703,1583,1704,1583,1763,1653,1703,1583,1663,1664,1663,1583,1663,1663,1664,1583,1663,1663,1653,1583,1683,1583,1663,1583,1663,1663,1663,1583,1663,1663,1653,1583,1654,1653,1653,1583,1663,1654,1653,1583,1663,1663,1664,1583,1663,1663,1663,1583,1653,1663,1663,1583,1653,1653,1653,1583,1653,1653,1663,1583,1664,1663,1663,1583,1663,1664,1663,1583,1663,1663,1654,1583,1653,1653,1653,1583,1663,1653,1653,1583,1663,1663,1663,1583
2125,1653,1593,1603,1603,1603,1603,1603,1614,1603,1603,1724,1603,1603,1603,1603,1603,1603,1603,1603,1593,1723,1603,1603,1603,1603,1603,1603,1613,1613,1603,1713,1603,1603,1603,1603,1613,1603,1603,1603,1593,1723,1603,1603,1613,1603,1603,1613,1603,1603,1593,1723,1603,1603,1613,1603,1603,1613,1603,1603,1593,1724,1603,1603,1603,1613,1603,1603,1603,1603,1604,1723,1603,1603,1603,1603,1603,1603,1603,1603,1603,1713,1603,1603,1603,1603,1603,1603,1603,1603,1593,1723,1603,1604,1613,1603,1604,1603,1603,1603
3216,2314,2355,2355,2344,2344,2355,2355,2355,2364,2354,2355,2354,2364,2355,2355,2354,2364,2355,2355,2354,2364,2355,2355,2354,2364,2355,2355,2364,2364,2355,2355,2364,2364,2355,2354,2364,2365,2355,2354,2354,2365,2355,2354,2354,2355,2355,2354,2354,2355,2355,2354,2354,2355,2355,2354,2354,2355,2354,2354,2355,2355,2354,2354,2355,2355,2354,2354,2355,2355,2354,2354,2355,2355,2354,2354,2345,2354,2344,2345,2345,2344,2344,2345,2345,2344,2344,2345,2344,2344,2345,2345,2344,2344,2345,2344,2344,2345,2345,2344
